,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,5.45,0.05,3.14659,25.13274,993
1,5.45,0.1,3.14658,25.13274,494
2,5.45,0.15,3.14659,25.13274,325
3,5.45,0.2,-11.72941,-87.89439,60
4,5.45,0.25,-9.41979,-75.39822,203
5,5.45,0.3,-12.26724,-95.7804,6
6,5.45,0.35,-9.41979,-75.39822,140
7,5.45,0.4,-6.27962,-50.20844,2
8,5.45,0.45,-7.20596,-64.02592,2
9,5.45,0.5,-6.56039,-54.67247,2
10,5.45,0.55,-10.69873,-77.93973,4
11,5.45,0.6,-6.44128,-52.78974,6
12,5.45,0.65,-10.75418,-78.2654,9
13,5.45,0.7,-5.45298,-37.71928,2
14,5.45,0.75,-10.99183,-79.9347,4
