,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[ 1.86 -0.74],0.05,[ 0.70715 -0.70711],-0.55182,118
1,[ 1.86 -0.74],0.1,[ 0.70715 -0.70711],-0.55182,57
2,[ 1.86 -0.74],0.15,[ 0.70714 -0.70711],-0.55182,37
3,[ 1.86 -0.74],0.2,[ 0.70713 -0.70711],-0.55182,27
4,[ 1.86 -0.74],0.25,[ 0.70715 -0.70711],-0.55182,20
5,[ 1.86 -0.74],0.3,[ 0.70714 -0.70711],-0.55182,16
6,[ 1.86 -0.74],0.35,[ 0.70713 -0.70711],-0.55182,13
7,[ 1.86 -0.74],0.4,[ 0.70711 -0.70711],-0.55182,11
8,[ 1.86 -0.74],0.45,[ 0.70712 -0.70711],-0.55182,8
9,[ 1.86 -0.74],0.5,[ 0.70714 -0.70711],-0.55182,7
10,[ 1.86 -0.74],0.55,[ 0.7071  -0.70711],-0.55182,10
11,[ 1.86 -0.74],0.6,[ 0.70708 -0.70711],-0.55182,11
12,[ 1.86 -0.74],0.65,[ 0.70707 -0.70711],-0.55182,13
13,[ 1.86 -0.74],0.7,[ 0.70708 -0.70712],-0.55182,11
14,[ 1.86 -0.74],0.75,[ 0.70708 -0.70711],-0.55182,22
