,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[ 1.8  -1.82],0.05,[ 0.70715 -0.70715],-0.55182,188
1,[ 1.8  -1.82],0.1,[ 0.70714 -0.70714],-0.55182,93
2,[ 1.8  -1.82],0.15,[ 0.70714 -0.70714],-0.55182,61
3,[ 1.8  -1.82],0.2,[ 0.70714 -0.70714],-0.55182,45
4,[ 1.8  -1.82],0.25,[ 0.70714 -0.70714],-0.55182,35
5,[ 1.8  -1.82],0.3,[ 0.70712 -0.70713],-0.55182,29
6,[ 1.8  -1.82],0.35,[ 0.70713 -0.70713],-0.55182,24
7,[ 1.8  -1.82],0.4,[ 0.70713 -0.70713],-0.55182,20
8,[ 1.8  -1.82],0.45,[ 0.70711 -0.70711],-0.55182,17
9,[ 1.8  -1.82],0.5,[ 0.70708 -0.70708],-0.55182,16
10,[ 1.8  -1.82],0.55,[ 0.70709 -0.70709],-0.55182,17
11,[ 1.8  -1.82],0.6,[ 0.70709 -0.70709],-0.55182,18
12,[ 1.8  -1.82],0.65,[ 0.70707 -0.70706],-0.55182,19
13,[ 1.8  -1.82],0.7,[ 0.70714 -0.70714],-0.55182,21
14,[ 1.8  -1.82],0.75,[ 0.70706 -0.70706],-0.55182,26
